#RunNum   EventNum    x(mm)    y(mm)    z(mm)
2384 700 0.240167 -20.6267 -1.61246
2384 3268 -0.310674 -20.7222 -1.4689
2384 3470 -0.443479 -20.558 -1.4444
2384 3536 -0.124131 -20.3678 -1.49932
2384 3799 -0.398767 -20.3245 -1.51433
2384 4249 -0.282064 -20.8176 -1.6414
2384 4405 -0.310474 -20.2176 -1.5364
2384 5385 -0.433114 -20.6841 -1.6227
2384 6223 -0.500799 -20.7165 -1.68758
2384 6885 -0.58203 -20.3674 -1.48328
2384 7657 -0.332961 -20.3845 -1.75252
2384 8178 -0.00100656 -20.1176 -1.60993
2384 9277 -0.320288 -20.5328 -1.59548
2384 9413 0.195051 -20.8406 -1.55158
2384 9529 -0.221398 -20.1941 -1.45849
2384 9824 -0.304957 -20.1685 -1.39102
2384 9883 0.184865 -20.6834 -1.5586
2384 10553 0.564271 -20.2822 -1.46234
2384 10674 0.0261439 -20.4942 -1.48365
2384 10814 -0.548989 -20.3557 -1.48503
2384 11023 -0.446573 -20.8146 -1.44935
2384 11536 0.25455 -21.1761 -1.44082
2384 11544 0.00102389 -20.7477 -1.55986
2384 12112 0.337935 -20.3836 -1.38891
2384 12270 -0.768602 -20.8011 -1.47876
2384 12656 -0.139986 -20.2576 -1.52622
2384 12704 0.0100374 -20.5681 -1.36029
2384 12899 0.842102 -20.5764 -1.44974
2384 13184 -0.0957729 -20.1473 -1.59119
2384 13458 -0.584912 -21.0438 -1.44597
2384 13630 -0.260794 -20.1102 -1.48996
2384 13810 0.519684 -20.7499 -1.44034
2384 13946 0.240057 -20.587 -1.61088
2384 14309 -0.549467 -20.2488 -1.56276
2384 14680 -0.74458 -20.6021 -1.51164
2384 14923 -0.410627 -20.4209 -1.55418
2384 15580 0.121353 -20.3192 -1.59044
2384 15841 -0.201116 -20.2617 -1.56555
2384 16230 -0.595291 -20.4964 -1.58299
2384 16850 -0.271648 -20.7528 -1.54992
2384 17000 0.0873911 -20.4563 -1.53879
2384 17194 0.0559812 -19.1388 -1.40326
2384 17307 0.0424529 -19.9959 -1.41841
2384 17606 -0.285931 -20.8706 -1.46702
2384 18126 0.134008 -20.3777 -1.54769
2384 18175 0.0701853 -20.838 -1.47582
2384 18207 -0.326782 -20.3828 -1.473
2384 18237 -0.311113 -20.6599 -1.62702
2384 18251 0.115795 -20.9342 -1.43391
2384 18420 0.652081 -20.3238 -1.39007
2384 18438 0.181339 -20.2341 -1.62356
2384 18486 -0.141383 -20.5182 -1.39344
2384 18852 -0.213394 -20.2817 -1.43159
2384 18909 0.187646 -20.6365 -1.54101
2384 20193 -0.465032 -20.5186 -1.36216
2384 21264 -0.787202 -20.4404 -1.51451
2384 21304 -0.331015 -20.9471 -1.15475
2384 21360 0.105663 -21.0142 -1.50141
2384 21454 -0.0692407 -20.8744 -1.35733
2384 22480 -0.731057 -20.7034 -1.42445
